id,uid,callsign,freq,snr,drift,grid,grid_lat,grid_lon,pwr_dbm,pwr_watt,rpt_grid,rpt_de,rpt_lat,rpt_lon,rpt_distance_km,reported_at,created_at
2120578,a46ab805d173f35dfbcb36a4393b26a5,LU1ESY,14.097,-25,1,GF42,-38,-52,40,10,GF05hi,LW8EXS,-34.6667,-59.4167,814,2020-10-28 16:32:00,2020-10-29 09:10:51
2120579,569019396feea6c2ab62e14bb1ecf4d0,LU1ESY,14.0971,-14,0,GF42,-38,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1623,2020-10-28 16:32:00,2020-10-29 09:10:51
2120580,feb65a6b4bc22d08f6b5f466ebd987a0,LU1ESY,14.0971,-21,0,GF42,-38,-52,40,10,GG56tv,PY2GN,-23.125,-48.4167,1623,2020-10-28 16:32:00,2020-10-29 09:10:51
2120575,ad3a2b14f497cd45f4f4b1aaa1f7d4e8,LU1ESY,14.0972,-19,0,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 16:44:00,2020-10-29 09:10:51
2120576,bdd935b5626b5601db2b1b4b34175c25,LU1ESY,14.0972,-26,0,GF41,-39,-52,40,10,GF05hi,LW8EXS,-34.6667,-59.4167,859,2020-10-28 16:44:00,2020-10-29 09:10:51
2120577,30c0bddf40cd573009f64d48c61bf8bf,LU1ESY,14.0972,-20,0,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 16:44:00,2020-10-29 09:10:51
2120571,aba546987e01d48e32eff5285dcb800c,LU1ESY,14.097,-26,-1,GF41,-39,-52,40,10,GF05te,LU7DSU,-34.8333,-58.4167,773,2020-10-28 16:56:00,2020-10-29 09:10:51
2120572,57d932e737dbafec77dba7c33911a004,LU1ESY,14.097,-16,-1,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 16:56:00,2020-10-29 09:10:51
2120573,3944a868c284545b2683785e261f26a9,LU1ESY,14.097,-21,0,GF41,-39,-52,40,10,GG56tv,PY2GN,-23.125,-48.4167,1733,2020-10-28 16:56:00,2020-10-29 09:10:51
2120574,7dc641ec560759f2afeff074599c5be5,LU1ESY,14.0971,-19,0,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 16:56:00,2020-10-29 09:10:51
2120569,399e498816a2db0cc77adac492d14805,LU1ESY,14.0971,-16,0,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 17:10:00,2020-10-29 09:10:51
2120570,ff5b9b6cc7d85bb26b60d42f4b62ce3d,LU1ESY,14.0972,-19,1,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 17:10:00,2020-10-29 09:10:51
2120563,81f44768b0278a552887a4d70c39678b,LU1ESY,14.0971,-15,0,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 17:22:00,2020-10-29 09:10:51
2120564,a66fc222269c4f44287842dd8aab3ea5,LU1ESY,14.0971,-22,1,GF41,-39,-52,40,10,GF05sk,LU5CQC,-34.5833,-58.5,795,2020-10-28 17:22:00,2020-10-29 09:10:51
2120565,5016b41fc0c4b1bdcfc4fc64b09c1b4b,LU1ESY,14.0971,-22,0,GF41,-39,-52,40,10,GF05qi,LU1ESY1,-34.6667,-58.6667,802,2020-10-28 17:22:00,2020-10-29 09:10:51
2120566,9581c56653196fe1540bd5a24db21929,LU1ESY,14.0971,-24,-1,GF41,-39,-52,40,10,GF05rk,LU7ABF,-34.5833,-58.5833,801,2020-10-28 17:22:00,2020-10-29 09:10:51
2120567,7e565b9b8978a58364dc77b1b5dc6d56,LU1ESY,14.0971,-19,0,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 17:22:00,2020-10-29 09:10:51
2120568,712f7cb3cb7cdf0db76192ee89aab761,LU1ESY,14.0971,-20,0,GF41,-39,-52,40,10,GG56tv,PY2GN,-23.125,-48.4167,1733,2020-10-28 17:22:00,2020-10-29 09:10:51
2120557,5c55914a741a8066e9297ff11efd0e37,LU1ESY,14.0972,-23,0,GF41,-39,-52,40,10,GF05qi,LU1ESY1,-34.6667,-58.6667,802,2020-10-28 17:34:00,2020-10-29 09:10:51
2120558,7eeebdce81913ee3a03db93470ce09b4,LU1ESY,14.0972,-22,0,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 17:34:00,2020-10-29 09:10:51
2120559,50cd1d4a580d9278fbd9d30394690c50,LU1ESY,14.0971,-21,1,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 17:34:00,2020-10-29 09:10:51
2120560,4fe56528ff93e04eace5b40ca5fb033c,LU1ESY,14.0971,-23,1,GF41,-39,-52,40,10,GH64cg,PT2FHC,-15.75,-47.8333,2554,2020-10-28 17:34:00,2020-10-29 09:10:51
2120561,d6ee1a916c1f98b4d3f295e2aaefc2e6,LU1ESY,14.0972,-21,1,GF41,-39,-52,40,10,IB59ui,DP0GVN,-70.6667,-8.33333,4328,2020-10-28 17:34:00,2020-10-29 09:10:51
2120562,7956b952ea9aef185fd9aa3f25791f24,LU1ESY,14.0972,-22,0,GF41,-39,-52,40,10,GG56tv,PY2GN,-23.125,-48.4167,1733,2020-10-28 17:34:00,2020-10-29 09:10:51
2120552,290d63f5ab5c4108bcaa3397beb24a0a,LU1ESY,14.0972,-22,1,GF41,-39,-52,40,10,GG56tv,PY2SDR,-23.125,-48.4167,1733,2020-10-28 17:46:00,2020-10-29 09:10:51
2120553,3334407a4a73373a08624f04b87ba0e8,LU1ESY,14.0972,-23,0,GF41,-39,-52,40,10,IB59ui,DP0GVN,-70.6667,-8.33333,4328,2020-10-28 17:46:00,2020-10-29 09:10:51
2120554,a10a490c34643aca344bc0fbae6727dc,LU1ESY,14.0971,-21,0,GF41,-39,-52,40,10,FF91up,LU3DJ,-38.375,-60.3333,806,2020-10-28 17:46:00,2020-10-29 09:10:51
2120555,665810235de49c6cf7923fc2d3469473,LU1ESY,14.0972,-22,1,GF41,-39,-52,40,10,GG56tv,PY2GN,-23.125,-48.4167,1733,2020-10-28 17:46:00,2020-10-29 09:10:51
